Pickup Community Area,Ride Date,Total Number of Rides
44,12/30/2013,15
44,07/26/2013,2
44,07/26/2017,4
44,07/26/2016,10
44,09/03/2014,14
44,07/26/2015,5
44,07/26/2014,8
44,09/03/2013,10
44,04/10/2016,5
44,04/10/2017,2
44,10/03/2015,8
44,10/03/2016,8
44,10/03/2013,6
44,10/03/2014,10
44,04/10/2014,10
44,04/10/2015,15
44,04/10/2013,3
44,12/20/2013,16
44,12/20/2015,12
44,11/02/2013,5
44,11/02/2014,12
44,12/20/2014,27
44,12/20/2016,6
44,05/25/2016,7
44,05/25/2015,4
44,05/25/2017,4
44,05/25/2014,10
44,05/25/2013,1
44,07/06/2016,5
44,07/06/2014,12
44,07/06/2015,6
44,07/06/2013,1
44,08/18/2015,11
44,08/18/2014,5
44,08/18/2013,2
44,03/21/2014,18
44,03/21/2013,5
44,03/21/2016,5
44,08/18/2016,4
44,03/21/2015,12
44,03/21/2017,6
44,05/02/2013,6
44,05/02/2016,8
44,05/02/2017,5
44,05/02/2014,20
44,05/02/2015,9
44,08/31/2016,3
44,08/31/2015,8
44,08/31/2014,8
44,08/31/2013,2
44,02/16/2016,8
44,02/16/2017,5
44,10/23/2016,4
44,10/23/2015,11
44,01/24/2013,3
44,09/23/2014,8
44,09/23/2013,3
44,09/23/2016,8
44,09/23/2015,12
44,03/28/2017,5
44,03/28/2016,8
44,07/29/2014,7
44,10/23/2014,14
44,07/29/2013,5
44,10/23/2013,2
44,07/29/2016,6
44,07/29/2015,16
44,07/29/2017,2
44,11/17/2013,4
44,11/17/2014,17
44,11/17/2015,12
44,11/17/2016,10
44,03/02/2013,3
44,08/07/2013,4
44,08/07/2014,11
44,03/02/2015,10
44,03/02/2014,9
44,08/07/2015,13
44,03/02/2017,6
44,08/07/2016,4
